Step,Hour,Action,Reward,Budget
1,6시,6,-5.0,10
2,7시,9,-5.0,10
3,8시,5,0.0,9
4,9시,6,-5.0,9
5,10시,2,0.0,8
6,11시,8,-5.0,8
7,12시,2,-0.0,7
8,13시,7,-0.01,7
9,14시,1,-0.02,6
10,15시,10,-0.0,6
11,16시,2,-0.02,5
12,17시,3,-0.02,5
13,18시,0,-0.02,5
14,19시,2,-0.03,4
15,20시,5,-0.04,3
16,21시,10,0.94,3
17,22시,6,-0.06,3
18,23시,4,-0.07,2
19,5시,9,-0.08,2
20,6시,4,-0.05,1
21,7시,8,-0.06,1
22,8시,6,-4.07,1
23,9시,5,0.92,0
24,10시,7,-0.08,0
25,11시,6,-4.09,0
26,12시,10,-0.1,1
27,13시,10,-5.11,1
28,14시,9,-0.13,1
29,15시,10,-4.14,1
30,16시,4,-0.17,1
31,17시,10,-5.18,1
32,18시,1,-0.2,0
33,19시,5,-1.15,0
34,20시,10,-5.18,0
35,21시,2,-1.2,0
36,22시,4,-2.23,0
37,23시,0,-0.26,1
38,5시,1,-0.29,0
39,6시,7,0.7,0
40,7시,9,-0.28,0
41,8시,6,-0.24,0
42,9시,6,-0.24,1
43,10시,6,-5.27,2
44,11시,10,-4.3,4
45,12시,6,-5.32,5
46,13시,1,2.7,4
47,14시,4,0.72,3
48,15시,10,-5.29,3
49,16시,10,-5.3,3
50,17시,1,0.68,2
51,18시,7,0.72,2
52,19시,7,-3.24,2
53,20시,10,-3.24,2
54,21시,10,-4.25,3
55,22시,1,0.73,2
56,23시,10,-5.08,2
57,5시,10,-4.02,2
58,6시,8,-5.02,2
59,7시,3,-0.02,1
60,8시,8,-0.04,1
61,9시,8,-4.04,1
62,10시,10,-5.05,2
63,11시,3,1.96,2
64,12시,8,0.94,2
65,13시,8,-3.06,2
66,14시,10,-3.08,2
67,15시,10,-5.08,2
68,16시,6,-0.1,2
69,17시,8,-5.11,2
70,18시,10,-5.13,2
71,19시,6,2.86,2
72,20시,6,2.84,3
73,21시,6,-5.19,3
74,22시,6,-5.12,4
75,23시,1,-0.1,4
76,5시,1,0.89,3
77,6시,5,-0.12,2
78,7시,8,-5.13,2
79,8시,1,-0.13,1
80,9시,8,-3.14,1
81,10시,8,-5.15,1
82,11시,8,-3.14,2
83,12시,5,-0.15,1
84,13시,2,1.84,0
85,14시,10,-0.1,0
86,15시,10,0.88,0
87,16시,4,-2.14,0
88,17시,1,-2.17,0
89,18시,7,0.8,0
90,19시,1,-1.24,0
91,20시,1,-2.24,0
92,21시,1,-2.25,0
93,22시,1,-0.27,0
94,23시,6,0.71,0
95,5시,3,-2.24,1
96,6시,5,-0.26,0
97,7시,3,-1.28,0
98,8시,3,-1.28,0
99,9시,5,-0.24,0
100,10시,8,-5.21,0
101,11시,8,-5.23,0
102,12시,8,-3.24,0
103,13시,10,0.73,0
104,14시,10,-5.27,0
105,15시,10,-4.3,0
106,16시,1,-0.33,0
107,17시,1,-2.3,0
108,18시,1,-0.29,0
109,19시,1,-1.3,0
110,20시,1,-2.33,0
111,21시,1,-2.37,0
112,22시,1,1.85,0
113,23시,1,-1.16,0
114,5시,1,-2.16,0
115,6시,10,-5.18,0
116,7시,10,-4.2,0
117,8시,2,-2.2,0
118,9시,10,-5.22,0
119,10시,3,-1.22,0
120,11시,3,-1.21,0
121,12시,3,-2.23,0
122,13시,3,-1.21,0
123,14시,10,-5.23,0
124,15시,10,-5.26,1
125,16시,0,1.76,1
126,17시,0,-0.2,1
127,18시,0,-0.17,2
128,19시,0,0.82,4
129,20시,0,-0.23,4
130,21시,0,-0.24,7
131,22시,0,-0.26,7
132,23시,0,-0.27,7
133,5시,6,-0.2,7
134,6시,8,-3.12,8
135,7시,8,-3.12,8
136,8시,9,1.86,8
137,9시,8,-5.1,8
138,10시,8,-3.12,8
139,11시,3,-0.11,7
140,12시,0,-0.13,7
141,13시,5,-0.16,6
142,14시,3,3.82,5
143,15시,1,-0.21,4
144,16시,3,0.82,4
145,17시,10,-0.19,4
146,18시,0,-0.21,4
147,19시,8,1.76,4
148,20시,10,-3.28,4
149,21시,0,0.68,5
150,22시,0,-0.35,5
151,23시,0,1.62,5
152,5시,0,-0.43,5
153,6시,8,-0.46,5
154,7시,8,4.54,5
155,8시,8,-3.37,5
156,9시,8,-5.2,5
157,10시,8,-5.09,5
158,11시,10,-5.09,5
159,12시,10,-5.11,5
160,13시,10,-4.13,5
161,14시,10,-5.16,5
162,15시,3,0.82,5
163,16시,3,-0.2,4
164,17시,2,-0.22,3
165,18시,3,-0.25,2
166,19시,3,1.71,1
167,20시,2,3.73,0
168,21시,0,-0.22,0
169,22시,2,-2.2,0
170,23시,2,-2.21,0
171,5시,8,0.77,0
172,6시,4,-0.22,0
173,7시,8,1.76,1
174,8시,8,-0.23,2
175,9시,3,-0.09,1
176,10시,8,-0.09,1
177,11시,8,0.9,1
178,12시,10,-5.12,1
179,13시,10,-4.13,1
180,14시,10,-3.14,1
181,15시,10,-4.11,1
182,16시,10,-4.12,1
183,17시,10,-5.14,1
184,18시,10,-4.1,1
185,19시,1,2.88,0
186,20시,10,-3.12,0
187,21시,10,-4.03,0
188,22시,5,-1.04,1
189,23시,1,0.96,0
190,5시,5,-2.05,0
191,6시,5,-0.04,1
192,7시,5,-0.04,1
193,8시,5,-0.05,0
194,9시,5,-0.04,1
195,10시,5,-0.04,0
196,11시,5,-2.04,0
197,12시,3,-0.0,0
198,13시,5,-2.01,0
199,14시,3,-1.0,0
200,15시,5,-0.01,1
201,16시,5,-0.01,0
202,17시,5,-2.02,0
203,18시,10,0.98,0
204,19시,10,-0.04,0
205,20시,10,2.96,0
206,21시,10,0.94,0
207,22시,10,-5.07,0
208,23시,10,-4.07,0
209,5시,6,-0.09,0
210,6시,4,-2.1,0
211,7시,8,-5.12,0
212,8시,8,-5.11,1
213,9시,8,-5.1,2
214,10시,8,-4.11,3
215,11시,10,-5.04,5
216,12시,10,-4.01,5
217,13시,10,-5.02,5
218,14시,10,-5.04,5
219,15시,10,-5.05,5
220,16시,10,-5.02,5
221,17시,10,-4.02,5
222,18시,10,-4.02,5
223,19시,10,-5.04,5
224,20시,10,-5.04,5
225,21시,10,-1.03,5
226,22시,1,-0.04,4
227,23시,10,-5.05,4
228,5시,10,-5.05,4
229,6시,5,-0.03,3
230,7시,5,-0.03,2
231,8시,5,-0.02,1
232,9시,5,-0.02,0
233,10시,5,-0.03,0
234,11시,5,-0.03,0
235,12시,5,-1.02,0
236,13시,5,-2.03,0
237,14시,5,-1.03,0
238,15시,5,-2.04,0
239,16시,3,-2.05,0
240,17시,3,-2.05,0
241,18시,3,-1.03,0
242,19시,3,-2.03,0
243,20시,5,-1.04,0
244,21시,10,2.98,0
245,22시,10,-0.02,0
246,23시,10,0.98,0
247,5시,1,-0.02,0
248,6시,5,-0.02,0
249,7시,5,-0.02,0
250,8시,5,-0.0,0
251,9시,5,-1.01,0
252,10시,5,-2.01,0
253,11시,5,-2.02,0
254,12시,5,-2.03,0
255,13시,5,-2.03,0
256,14시,5,-2.03,0
257,15시,10,0.98,0
258,16시,4,0.96,0
259,17시,10,-4.06,0
260,18시,5,-0.06,3
261,19시,3,-0.06,2
262,20시,10,-5.07,2
263,21시,6,2.93,2
264,22시,6,0.9,2
265,23시,6,0.9,3
266,5시,6,0.91,3
267,6시,4,0.94,3
268,7시,4,-0.08,2
269,8시,10,-5.05,2
270,9시,8,0.96,3
271,10시,8,-4.04,3
272,11시,8,-3.04,3
273,12시,8,-4.05,3
274,13시,0,0.94,3
275,14시,8,-5.07,3
276,15시,8,-5.08,3
277,16시,3,1.94,3
278,17시,1,-0.07,2
279,18시,0,0.92,2
280,19시,3,-0.1,1
281,20시,8,-0.06,1
282,21시,1,-0.06,0
283,22시,6,-0.04,0
284,23시,6,-0.05,0
285,5시,6,-4.07,0
286,6시,5,-2.07,0
287,7시,5,-0.08,0
288,8시,8,-0.1,0
289,9시,8,-5.09,0
290,10시,8,-5.08,0
291,11시,8,-4.07,0
292,12시,8,-4.08,0
293,13시,8,-2.1,0
294,14시,8,-5.11,0
295,15시,8,-4.13,0
296,16시,8,-5.11,0
297,17시,8,-5.14,0
298,18시,6,-5.16,0
299,19시,6,-4.13,0
300,20시,6,-5.15,0
301,21시,6,-2.17,0
302,22시,6,-2.17,1
303,23시,1,-0.19,1
304,5시,10,-5.2,1
305,6시,5,1.92,2
306,7시,8,-4.08,2
307,8시,8,-5.1,2
308,9시,8,-4.11,2
309,10시,8,-3.13,2
310,11시,8,-5.08,2
311,12시,5,-0.06,1
312,13시,5,-0.08,0
313,14시,5,-0.1,0
314,15시,5,-2.04,0
315,16시,3,-2.05,0
316,17시,3,-1.05,0
317,18시,1,-0.06,0
318,19시,1,-2.06,0
319,20시,6,-0.08,0
320,21시,1,-2.09,1
321,22시,1,-0.12,0
322,23시,4,-2.1,0
323,5시,9,-0.1,0
324,6시,4,-0.1,0
325,7시,8,-4.1,0
326,8시,3,-2.1,0
327,9시,5,-1.05,1
328,10시,5,-0.06,0
329,11시,5,-0.02,0
330,12시,3,-2.04,0
331,13시,3,-2.05,0
332,14시,3,2.96,1
333,15시,5,0.95,0
334,16시,1,-1.07,0
335,17시,1,-2.09,0
336,18시,1,-2.12,0
337,19시,5,-2.14,0
338,20시,1,-2.15,0
339,21시,4,-2.18,0
340,22시,1,-2.2,0
341,23시,1,-1.2,0
342,5시,1,0.84,0
343,6시,5,-2.12,0
344,7시,5,-1.09,0
345,8시,5,-2.1,0
346,9시,5,-1.07,0
347,10시,5,2.0,0
348,11시,5,-2.0,0
349,12시,5,-1.0,0
350,13시,5,-2.02,0
351,14시,3,-0.02,0
352,15시,1,-1.03,0
353,16시,1,-2.05,0
354,17시,1,-2.07,0
355,18시,1,-0.1,0
356,19시,1,-1.12,0
357,20시,1,-2.09,0
358,21시,1,-2.09,0
359,22시,1,-2.1,0
360,23시,1,-1.1,0
361,5시,1,-2.1,0
362,6시,4,2.88,0
363,7시,5,-1.11,0
364,8시,8,-5.13,0
365,9시,8,-5.13,0
366,10시,8,-5.15,0
367,11시,8,-5.16,0
368,12시,8,-3.14,0
369,13시,3,-2.11,0
370,14시,3,-2.11,0
371,15시,1,-2.08,0
372,16시,1,-1.08,0
373,17시,1,-2.08,0
374,18시,1,0.91,0
375,19시,1,0.94,0
376,20시,1,-1.07,0
377,21시,1,-2.08,0
378,22시,1,-2.1,0
379,23시,1,-1.1,0
380,5시,1,-2.08,0
381,6시,5,-2.09,0
382,7시,5,-2.1,0
383,8시,5,-1.08,0
384,9시,5,-1.05,0
385,10시,5,-2.06,0
386,11시,5,-2.07,0
387,12시,3,-2.09,0
388,13시,3,-2.11,0
389,14시,3,0.93,0
390,15시,3,-2.08,0
391,16시,1,-2.1,0
392,17시,1,-1.13,0
393,18시,3,-2.11,0
394,19시,1,-2.11,1
395,20시,1,-0.12,0
396,21시,1,-2.15,0
397,22시,0,2.82,0
398,23시,0,0.9,0
399,5시,0,-0.1,0
400,6시,4,0.9,0
401,7시,4,-2.06,0
402,8시,8,-5.04,0
403,9시,5,-1.04,0
404,10시,5,-0.03,0
405,11시,5,-2.0,0
406,12시,5,-2.0,0
407,13시,5,1.0,0
408,14시,5,-2.01,0
409,15시,5,-2.01,0
410,16시,3,-0.02,0
411,17시,3,-2.04,0
412,18시,3,-1.06,0
413,19시,3,-0.06,0
414,20시,3,-2.07,0
415,21시,1,-2.07,0
416,22시,1,-1.08,0
417,23시,1,-2.1,0
418,5시,1,-1.12,0
419,6시,5,-2.09,0
420,7시,4,-2.08,0
421,8시,8,-5.09,0
422,9시,8,-3.09,0
423,10시,8,-5.1,0
424,11시,8,-2.06,0
425,12시,5,-2.07,0
426,13시,3,-0.09,0
427,14시,10,0.93,0
428,15시,3,-2.06,0
429,16시,3,-2.09,0
430,17시,3,-2.11,0
431,18시,3,-2.1,0
432,19시,3,-0.13,0
433,20시,3,-1.15,0
434,21시,3,-2.18,0
435,22시,0,-0.21,0
436,23시,6,-0.2,0
437,5시,6,-0.22,0
438,6시,3,-2.24,0
439,7시,3,-2.27,0
440,8시,3,0.71,0
441,9시,3,-2.26,1
442,10시,3,0.72,0
443,11시,3,-1.32,1
444,12시,0,-0.28,1
445,13시,0,0.75,1
446,14시,0,-0.28,1
447,15시,0,0.7,1
448,16시,0,-0.31,1
449,17시,0,0.77,1
450,18시,0,-0.08,1
451,19시,1,0.89,0
452,20시,1,-2.1,0
453,21시,6,-0.12,0
454,22시,6,-3.12,0
455,23시,6,-1.14,0
456,5시,6,-5.16,1
457,6시,8,-0.18,1
458,7시,8,-3.2,1
459,8시,8,-2.18,1
460,9시,8,-5.11,1
461,10시,8,-5.06,1
462,11시,8,-5.07,1
463,12시,3,-0.08,0
464,13시,8,2.9,0
465,14시,6,-5.11,0
466,15시,6,-5.12,0
467,16시,6,-5.14,0
468,17시,6,-4.17,0
469,18시,6,-5.2,1
470,19시,4,1.76,0
471,20시,6,-5.26,1
472,21시,6,-5.26,1
473,22시,6,-5.29,1
474,23시,6,-4.32,1
475,5시,6,-5.36,1
476,6시,8,-5.26,1
477,7시,1,0.81,0
478,8시,8,-5.19,0
479,9시,8,-5.22,0
480,10시,8,-5.25,0
481,11시,8,-4.28,0
482,12시,8,-3.3,0
483,13시,8,-5.34,0
484,14시,0,-0.32,0
485,15시,3,-0.28,0
486,16시,3,-1.26,0
487,17시,3,-2.29,0
488,18시,3,-2.29,0
489,19시,3,-1.27,0
490,20시,3,0.82,0
491,21시,3,-2.16,0
492,22시,2,-2.18,0
493,23시,0,-0.21,0
494,5시,0,1.8,0
495,6시,3,-1.2,0
496,7시,3,-1.22,0
497,8시,3,-2.24,0
498,9시,3,-2.18,0
499,10시,1,-0.19,0
500,11시,3,-2.14,0
501,12시,4,-0.12,0
502,13시,3,-2.01,0
503,14시,10,0.99,0
504,15시,10,1.98,0
505,16시,8,-4.04,0
506,17시,0,0.94,0
507,18시,0,-0.08,0
508,19시,0,-0.1,0
509,20시,6,0.88,0
510,21시,6,-2.12,0
511,22시,6,-5.14,0
512,23시,6,-4.15,0
513,5시,6,-5.14,1
514,6시,0,-0.11,1
515,7시,4,-0.06,0
516,8시,8,-5.07,0
517,9시,8,-5.08,0
518,10시,8,-5.04,0
519,11시,8,-5.06,0
520,12시,8,-5.08,0
521,13시,0,-0.1,0
522,14시,9,-0.13,0
523,15시,0,-0.16,0
524,16시,0,-0.18,0
525,17시,0,-0.21,0
526,18시,0,0.76,1
527,19시,0,1.84,1
528,20시,3,1.82,0
529,21시,6,-3.21,0
530,22시,6,-5.18,0
531,23시,6,-5.16,0
532,5시,6,-4.18,0
533,6시,4,-2.19,0
534,7시,4,-1.16,0
535,8시,8,0.82,0
536,9시,8,-5.19,0
537,10시,8,-5.2,0
538,11시,8,-5.22,0
539,12시,8,-5.24,0
540,13시,8,-5.25,0
541,14시,8,-4.27,0
542,15시,0,0.77,0
543,16시,0,-0.17,0
544,17시,3,-2.19,0
545,18시,3,-2.21,0
546,19시,3,-0.24,0
547,20시,3,-2.15,0
548,21시,3,-1.12,0
549,22시,3,-2.15,0
550,23시,3,-2.18,1
551,5시,3,-0.2,0
552,6시,3,-2.16,0
553,7시,3,-2.16,0
554,8시,3,-0.19,0
555,9시,3,-2.22,0
556,10시,0,-0.24,0
557,11시,0,3.73,0
558,12시,0,-0.24,0
559,13시,0,-0.19,0
560,14시,3,-2.17,0
561,15시,0,0.84,0
562,16시,0,0.82,0
563,17시,0,1.8,0
564,18시,0,-0.16,0
565,19시,0,-0.2,0
566,20시,0,-0.2,0
567,21시,0,-0.22,0
568,22시,0,-0.25,0
569,23시,0,1.74,0
570,5시,0,0.72,0
571,6시,4,-2.3,0
572,7시,4,-2.32,0
573,8시,4,-0.35,0
574,9시,8,-0.36,1
575,10시,8,-5.36,1
576,11시,8,-5.27,1
577,12시,8,-5.22,1
578,13시,3,-0.2,0
579,14시,0,-0.22,0
580,15시,0,0.89,0
581,16시,0,-0.13,0
582,17시,0,-0.16,0
583,18시,0,1.82,0
584,19시,0,-0.22,0
585,20시,0,-0.25,0
586,21시,0,1.72,0
587,22시,0,2.69,0
588,23시,0,-0.34,0
589,5시,0,-0.37,0
590,6시,4,-1.41,0
591,7시,3,-2.38,0
592,8시,0,-0.31,0
593,9시,8,-0.32,0
594,10시,8,-5.34,0
595,11시,8,-5.36,0
596,12시,10,-0.38,0
597,13시,3,-1.41,0
598,14시,0,1.56,0
599,15시,0,-0.46,0
600,16시,0,-0.48,0
601,17시,0,-0.5,0
602,18시,0,-0.54,0
603,19시,0,-0.56,0
604,20시,0,-0.55,0
605,21시,0,-0.6,0
606,22시,0,0.36,0
607,23시,0,-0.62,0
608,5시,0,-0.6,0
609,6시,4,-2.48,0
610,7시,4,-2.53,0
611,8시,4,-2.58,0
612,9시,8,-4.58,0
613,10시,8,-3.63,0
614,11시,8,-5.52,0
615,12시,0,-0.57,0
616,13시,0,0.41,0
617,14시,10,-0.64,0
618,15시,0,0.39,0
619,16시,0,-0.66,0
620,17시,0,-0.69,0
621,18시,0,0.24,1
622,19시,0,-0.82,1
623,20시,0,-0.9,1
624,21시,0,0.06,1
625,22시,0,1.02,1
626,23시,0,-0.04,1
627,5시,0,-1.01,1
628,6시,0,-1.0,1
629,7시,0,1.15,1
630,8시,0,-0.82,1
631,9시,0,-0.86,1
632,10시,0,1.1,1
633,11시,0,-0.86,1
634,12시,0,3.12,1
635,13시,0,-0.92,1
636,14시,0,0.08,1
637,15시,0,-0.96,1
638,16시,0,1.0,1
639,17시,0,-0.05,1
640,18시,0,-1.11,1
641,19시,0,-1.17,1
642,20시,0,-1.24,1
643,21시,0,0.7,1
644,22시,0,1.63,1
645,23시,0,-1.28,1
646,5시,0,-1.12,1
647,6시,3,-0.92,0
648,7시,4,-2.97,0
649,8시,8,-1.02,1
650,9시,2,-1.08,0
651,10시,8,-6.14,0
652,11시,8,-6.2,0
653,12시,8,-6.26,0
654,13시,0,-1.32,0
655,14시,7,-1.35,0
656,15시,0,-1.36,0
657,16시,0,0.58,0
658,17시,0,-1.26,0
659,18시,0,-0.32,0
660,19시,0,-1.39,0
661,20시,0,3.55,0
662,21시,0,-0.52,0
663,22시,0,-1.45,1
664,23시,0,-1.5,1
665,5시,0,-1.56,1
666,6시,3,-1.6,0
667,7시,0,0.34,0
668,8시,0,-0.51,0
669,9시,0,-1.45,0
670,10시,8,-1.44,0
671,11시,8,-5.48,1
672,12시,8,-4.53,1
673,13시,8,-6.57,1
674,14시,8,-6.62,1
675,15시,0,-1.68,1
676,16시,0,1.27,1
677,17시,0,-0.79,1
678,18시,0,-1.86,1
679,5시,0,0.08,1
680,6시,10,-5.0,10
681,7시,9,-5.0,10
682,8시,10,-5.0,10
683,9시,10,-5.0,10
684,10시,8,-5.0,10
685,11시,8,-5.0,10
686,12시,8,-5.0,10
687,13시,8,-5.0,10
688,14시,8,-5.01,10
689,15시,0,-0.02,10
690,16시,0,-0.03,10
691,17시,0,-0.04,10
692,18시,6,-5.05,10
693,19시,6,-5.05,10
694,20시,6,-5.07,10
695,21시,6,-5.08,10
696,22시,6,-5.08,10
697,23시,6,-5.1,10
698,5시,6,-5.09,10
699,6시,0,1.92,10
700,7시,10,-5.06,10
701,8시,10,-5.07,10
702,9시,10,-5.08,10
703,10시,3,-0.05,9
704,11시,0,0.95,9
705,12시,0,-0.06,9
706,13시,0,-0.06,9
707,14시,3,-0.07,8
708,15시,0,-0.08,8
709,16시,0,0.92,8
710,17시,0,-0.1,8
711,18시,0,-0.03,8
712,19시,0,-0.04,8
713,20시,6,-5.05,8
714,21시,6,-4.06,8
715,22시,6,-5.08,8
716,23시,0,0.9,8
717,5시,0,-0.12,8
718,6시,0,-0.1,8
719,7시,0,-0.11,8
720,8시,0,-0.13,8
721,9시,0,-0.14,8
722,10시,0,0.83,8
723,11시,0,-0.19,8
724,12시,0,1.78,8
725,13시,0,0.76,8
726,14시,0,0.81,8
727,15시,0,-0.14,8
728,16시,0,0.88,8
729,17시,0,-0.14,8
730,18시,0,-0.15,8
731,19시,0,-0.17,8
732,20시,0,1.92,8
733,21시,0,-0.1,8
734,22시,0,-0.12,8
735,23시,6,-5.14,8
736,5시,0,-0.15,8
737,6시,10,-4.16,8
738,7시,10,-5.19,8
739,8시,0,-0.19,8
740,9시,0,1.8,8
741,10시,3,3.77,7
742,11시,0,-0.21,7
743,12시,0,-0.24,7
744,13시,0,0.74,7
745,14시,0,-0.2,7
746,15시,0,1.78,7
747,16시,0,-0.15,7
748,17시,0,-0.18,7
749,18시,0,-0.2,7
750,19시,0,-0.23,7
751,20시,0,-0.25,7
752,21시,0,1.78,7
753,22시,0,-0.23,7
754,23시,0,-0.26,7
755,5시,0,-0.28,7
756,6시,0,2.69,7
757,7시,0,1.7,7
758,8시,0,-0.26,7
759,9시,0,-0.25,7
760,10시,0,-0.26,7
761,11시,0,1.72,7
762,12시,0,-0.12,7
763,13시,0,-0.14,7
764,14시,0,-0.16,7
765,15시,0,0.82,7
766,16시,0,-0.19,7
767,17시,0,-0.22,7
768,18시,0,0.75,7
769,19시,0,-0.23,7
770,20시,0,0.74,7
771,21시,7,-4.29,7
772,22시,0,0.67,7
773,23시,0,-0.34,7
774,5시,0,-0.37,7
775,6시,4,-0.41,6
776,7시,4,0.68,5
777,8시,0,0.76,5
778,9시,0,-0.22,5
779,10시,0,-0.24,5
780,11시,0,0.74,5
781,12시,0,-0.28,5
782,13시,0,-0.3,5
783,14시,0,0.67,5
784,15시,0,0.68,5
785,16시,0,-0.35,5
786,17시,0,0.63,5
787,18시,0,2.61,5
788,19시,0,-0.41,5
789,20시,6,-5.44,5
790,21시,0,-0.48,5
791,22시,0,0.64,5
792,23시,0,1.62,5
793,5시,0,0.66,5
794,6시,0,-0.23,5
795,7시,8,-0.25,5
796,8시,8,-0.26,5
797,9시,0,-0.29,5
798,10시,0,-0.19,5
799,11시,0,0.85,5
800,12시,0,-0.16,5
801,13시,0,-0.14,5
802,14시,0,-0.16,5
803,15시,0,0.84,5
804,16시,0,0.83,5
805,17시,0,-0.2,5
806,18시,0,-0.24,5
807,19시,0,0.72,5
808,20시,0,1.68,5
809,21시,0,-0.29,5
810,22시,0,1.75,5
811,23시,0,-0.27,5
812,5시,0,-0.3,5
813,6시,0,1.66,5
814,7시,0,0.63,5
815,8시,0,-0.32,6
816,9시,0,2.68,6
817,10시,0,-0.24,6
818,11시,0,-0.26,6
819,12시,0,-0.29,6
820,13시,0,1.68,6
821,14시,0,1.66,6
822,15시,0,-0.31,7
823,16시,0,-0.33,7
824,17시,0,0.66,7
825,18시,0,-0.37,7
826,19시,0,1.66,7
827,20시,0,-0.33,7
828,21시,0,0.64,7
829,22시,0,-0.38,7
830,23시,0,3.59,7
831,5시,0,-0.39,7
832,6시,0,-0.42,7
833,7시,0,-0.3,7
834,8시,0,-0.31,7
835,9시,0,-0.33,7
836,10시,0,0.74,7
837,11시,0,-0.26,7
838,12시,0,1.72,7
839,13시,0,0.75,7
840,14시,0,-0.27,7
841,15시,0,-0.29,7
842,16시,0,-0.31,7
843,17시,0,0.66,7
844,18시,0,-0.38,7
845,19시,0,-0.42,7
846,20시,0,1.55,7
847,21시,0,-0.42,7
848,22시,0,-0.26,7
849,23시,0,-0.29,7
850,5시,0,-0.32,7
851,6시,0,2.66,7
852,7시,0,0.73,7
853,8시,10,-3.29,7
854,9시,10,-5.32,7
855,10시,0,-0.32,7
856,11시,0,0.7,7
857,12시,0,-0.3,7
858,13시,0,-0.3,7
859,14시,0,0.68,7
860,15시,0,0.66,7
861,16시,0,-0.26,7
862,17시,0,-0.18,7
863,18시,0,0.81,7
864,19시,0,-0.21,7
865,20시,0,-0.23,7
866,21시,0,1.74,7
867,22시,0,1.88,7
868,23시,0,0.86,7
869,5시,0,-0.14,7
870,6시,5,0.85,6
871,7시,3,-0.17,5
872,8시,0,0.84,5
873,9시,0,1.87,5
874,10시,0,-0.15,5
875,11시,0,-0.16,5
876,12시,0,1.82,5
877,13시,0,0.84,5
878,14시,0,-0.13,5
879,15시,0,1.9,5
880,16시,0,-0.12,5
881,17시,0,0.86,5
882,18시,0,-0.1,5
883,19시,0,-0.1,5
884,20시,0,0.89,5
